# Current_Dump_NR.csv run at 2021-08-15 08:45:00 PDT on 53 links
link_name,currA_real,currA_imag,currB_real,currB_imag,currC_real,currC_imag
overhead_line1,0.000000,0.000000,-118.941376,-88.294492,31.532901,53.409397
overhead_line2,0.000000,0.000000,-31.532901,-53.409397,31.532901,53.409397
overhead_line3,440.911770,-223.485133,-291.252824,-242.647032,-59.091430,528.615243
overhead_line4,440.911770,-223.485133,-172.311448,-154.352540,-90.624331,475.205846
overhead_line5,436.293838,-220.441274,-152.584522,-143.789775,-92.491133,437.889208
overhead_line6,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000
overhead_line7,47.968654,-38.707627,0.000000,0.000000,-43.076198,60.429983
overhead_line8,0.000000,0.000000,0.000000,0.000000,-43.076198,60.429983
overhead_line9,47.968654,-38.707627,0.000000,0.000000,0.000000,0.000000
overhead_line10,209.345295,-22.215719,28.802148,-53.694775,-45.713282,115.473541
overhead_line11,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000
switch1,226.586695,-74.083419,28.802148,-53.694775,-62.954682,167.341241
XFMR1,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000
Reg1,455.134730,-230.694331,-277.383642,-231.092412,-62.613436,560.122112
