# Volt_Dump_NR.csv run at 2021-08-15 08:45:00 PDT on 53 nodes
node_name,voltA_real,voltA_imag,voltB_real,voltB_imag,voltC_real,voltC_imag
Node633,2394.622095,-93.129640,-1190.755513,-1927.013795,-1138.305520,2157.925086
Node630,2479.209689,0.022349,-1143.674303,-1980.928116,-1272.458833,2203.920648
Node632,2394.622095,-93.129640,-1190.755513,-1927.013795,-1138.305520,2157.925086
Node650,2401.777100,0.000000,-1200.888600,-2080.000000,-1200.888600,2080.000000
Node680,2310.662261,-206.186965,-1226.057688,-1928.421531,-1024.972816,2110.689351
Node684,2306.152075,-206.559322,0.000000,0.000000,-1018.666633,2108.624688
Load634,276.302549,-10.745728,-137.394867,-222.347746,-131.342945,248.991356
Load645,0.000000,0.000000,-1185.339661,-1903.141394,-1136.907898,2154.076587
Load646,0.000000,0.000000,-1186.022478,-1898.143123,-1136.185156,2149.077745
Load652,2296.942292,-201.163205,0.000000,0.000000,0.000000,0.000000
Load671,2310.662261,-206.186965,-1226.057688,-1928.421531,-1024.972816,2110.689351
Load675,2293.932440,-214.984530,-1234.919462,-1928.834481,-1023.298075,2106.297979
Load692,2310.654636,-206.171932,-1226.056443,-1928.417406,-1024.978035,2110.677837
Load611,0.000000,0.000000,0.000000,0.000000,-1010.787647,2107.357113
Load6711,2310.662261,-206.186965,-1226.057688,-1928.421531,-1024.972816,2110.689351
Load6321,2374.242428,-121.307989,-1199.054085,-1926.233146,-1107.492040,2145.623871
