# file...... voltage_at_634.csv
# date...... Fri Nov 12 14:01:01 2021
# user...... pragya
# host...... (null)
# target.... load 38
# trigger... (none)
# interval.. 150
# limit..... 0
# timestamp,voltage_A,voltage_B,voltage_C,constant_power_A
2021-08-15 08:45:00 PDT,+276.303-10.7457j,-137.395-222.348j,-131.343+248.991j,+0+0j
2021-08-15 08:47:30 PDT,+274.415-10.8876j,-138.183-223.838j,-129.296+245.441j,+0+0j
2021-08-15 08:50:00 PDT,+274.415-10.8876j,-138.183-223.838j,-129.296+245.441j,+0+0j
2021-08-15 08:52:30 PDT,+274.415-10.8876j,-138.183-223.838j,-129.296+245.441j,+0+0j
2021-08-15 08:55:00 PDT,+274.415-10.8876j,-138.183-223.838j,-129.296+245.441j,+0+0j
2021-08-15 08:57:30 PDT,+274.415-10.8876j,-138.183-223.838j,-129.296+245.441j,+0+0j
2021-08-15 09:00:00 PDT,+265.471-11.7352j,-137.456-214.851j,-130.552+246.328j,+100000+100000j
2021-08-15 09:02:30 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:05:00 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:07:30 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:10:00 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:12:30 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:15:00 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:17:30 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:20:00 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:22:30 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:25:00 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:27:30 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:30:00 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:32:30 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:35:00 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:37:30 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:40:00 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
2021-08-15 09:42:30 PDT,+267.48-11.7605j,-138.214-216.387j,-129.515+244.594j,+100000+100000j
